"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"1262839",2005,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",3114777
"1262953",2007,"United States","Croatia","Other","IV.2. Other Multisector",4387
"1263011",2006,"United Nations Children`s Fund (UNICEF)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",83
"1263025",2004,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",4685
"1263072",1999,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",26300
"1263435",2004,"France","Croatia","","I.1.d. Post-Secondary Education",30081
"1263550",2008,"Norway","Croatia","Basic education","I.1.b. Basic Education",106280
"1263957",2001,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",64926
"1265213",1993,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",2259401
"1269233",1993,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1073215
"1270153",1993,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",1644903
"1272260",1992,"Germany","Croatia","","III.2.a. Industry",8706656
"1275669",1993,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",155877
"1278348",1993,"Italy","Croatia","","IV.1. General Environment Protection",475604
"1278811",1994,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",48542
"1290625",1997,"Czech Republic","Croatia","General environmental protection","",499027
"1290718",1997,"Czech Republic","Croatia","Education, level unspecified","",2579584
"1291322",2010,"Slovenia","Croatia","Secondary education","",3471645
"1291333",2010,"Slovenia","Croatia","Education, level unspecified","",648
"1291623",2010,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",9540
"1291795",2010,"Greece","Croatia","","IV.1. General Environment Protection",15286
"1291796",2010,"Greece","Croatia","","XII. Unallocated / Unspecified",8781
"1291893",2010,"Greece","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",103352
"1291894",2010,"Greece","Croatia","","I.1.b. Basic Education",35041
"1291895",2010,"Greece","Croatia","","I.1.c. Secondary Education",35041
"1291896",2010,"Greece","Croatia","Post-secondary education","IV.2. Other Multisector",7629
"1291897",2010,"Greece","Croatia","Other","IV.2. Other Multisector",6126
"1293647",2010,"Italy","Croatia","Other","IV.2. Other Multisector",140808
"1293684",2010,"Switzerland","Croatia","Secondary education","I.1.d. Post-Secondary Education",68307
"1296049",2010,"Finland","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",109736
"1296053",2010,"Finland","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",2150
"1296058",2010,"Finland","Croatia","Other","IV.2. Other Multisector",41109
"1296062",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3297
"1296066",2010,"Finland","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",25768
"1296070",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",43001
"1296076",2010,"Finland","Croatia","Trade policy and regulations","III.3.a. Trade Policies & Regulations",6880
"1296080",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",37159
"1296083",2010,"Finland","Croatia","General environmental protection","IV.1. General Environment Protection",19365
"1296086",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",30789
"1296089",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",22504
"1296092",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",17201
"1296096",2010,"Finland","Croatia","General environmental protection","IV.1. General Environment Protection",10750
"1296099",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",54391
"1296103",2010,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",48785
"1299536",2010,"Italy","Croatia","","I.1.a. Education, Level Unspecified",1825
"1301778",2010,"Italy","Croatia","","I.1.d. Post-Secondary Education",26613
"1301799",2010,"Italy","Croatia","","I.1.d. Post-Secondary Education",62800
"1301815",2010,"Italy","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",2816
"1301818",2010,"Italy","Croatia","","I.1.d. Post-Secondary Education",593
"1301821",2010,"Italy","Croatia","Secondary education","I.1.c. Secondary Education",35202
"1302245",2010,"Switzerland","Croatia","Unallocated/  unspecified","IV.2. Other Multisector",16948
"1306284",2010,"Belgium","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",14459
"1306288",2010,"Belgium","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",35192
"1306292",2010,"Belgium","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",14187
"1330726",2007,"France","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",11178
"1331652",1999,"Italy","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",718
"1332595",2001,"Italy","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",376019
"1332814",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",23399
"1332983",1996,"Austria","Croatia","","I.1.d. Post-Secondary Education",83661
"1333015",2007,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",11097
"1333581",2008,"Japan","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",12831
"1334072",2005,"Austria","Croatia","","XI. Refugees in Donor Countries",24768
"1334347",1999,"Austria","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",14772
"1334601",2004,"Netherlands","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",240080
"1334730",2005,"Norway","Croatia","Business and other services","II.5. Business & Other Services",114915
"1334767",2003,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",4759
"1334773",2002,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",285007
"1334823",2002,"European Communities (EC)","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",17154
"1335092",2008,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",37695
"1335677",2003,"United States","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",6021
"1335762",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",1141
"1335847",1996,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",362173
"1336306",2001,"Netherlands","Croatia","","IV.1. General Environment Protection",112185
"1336754",2004,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1171
"1336760",2002,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",40655
"1336825",1998,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",6851
"1336945",2005,"Norway","Croatia","Reconstruction relief","VIII.1. Emergency Response",1876160
"1337105",2005,"Spain","Croatia","","I.1.d. Post-Secondary Education",1438
"1337213",2004,"Japan","Croatia","Transport and storage","II.1. Transport & Storage",65940
"1337236",2008,"Italy","Croatia","Secondary education","I.1.c. Secondary Education",43289
"1337543",2005,"France","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",27434
"1337645",2007,"European Communities (EC)","Croatia","Industry","III.2.a. Industry",58388089
"1337690",2004,"Norway","Croatia","General environmental protection","IV.1. General Environment Protection",26355
"1338146",2005,"Spain","Croatia","","I.1.d. Post-Secondary Education",1967
"1338355",2004,"Portugal","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1100
"1338904",1998,"Italy","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1848
"1339037",2002,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",96807
"1339188",2005,"Spain","Croatia","","I.1.c. Secondary Education",1726
"1339285",2006,"Norway","Croatia","General environmental protection","I.5.a. Government & Civil Society-general",1069403
"1339500",2008,"Portugal","Croatia","","I.1.d. Post-Secondary Education",20507
"1339882",2005,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",15406026
"1340620",2001,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",133338
"1341475",1998,"Netherlands","Croatia","","II.5. Business & Other Services",1667
"1342598",2002,"Germany","Croatia","Other","IV.2. Other Multisector",907122
"1343061",2005,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",401289
"1343111",2007,"Finland","Croatia","Women","I.5.a. Government & Civil Society-general",28735
"1343202",2006,"United States","Croatia","","II.3. Energy",4392
"1343238",1999,"Canada","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",839825
"1343542",2008,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",28626
"1343615",2006,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",358620
"1343751",2007,"Japan","Croatia","","X. Support to NGO's",804566
